Date,Predicted_Demand
2024-04-01,1319013
2024-05-01,1320934
2024-06-01,1313547
2024-07-01,1323108
2024-08-01,1319558
2024-09-01,1324217
2024-10-01,1363557
2024-11-01,1370322
2024-12-01,1386206
2025-01-01,1066578
2025-02-01,1159808
2025-03-01,1186869
2025-04-01,1313966
2025-05-01,1287310
2025-06-01,1245993
2025-07-01,1311120
2025-08-01,1301171
2025-09-01,1243114
2025-10-01,1350587
2025-11-01,1363366
2025-12-01,1371230
