Date,Predicted_Demand
2024-04-01,1329688
2024-05-01,1317693
2024-06-01,1284852
2024-07-01,1309757
2024-08-01,1264563
2024-09-01,1232276
2024-10-01,1367284
2024-11-01,1369260
2024-12-01,1411798
2025-01-01,1185224
2025-02-01,1209060
2025-03-01,1279654
2025-04-01,1283285
2025-05-01,1254819
2025-06-01,1275716
2025-07-01,1280489
2025-08-01,1258000
2025-09-01,1247861
2025-10-01,1358672
2025-11-01,1377106
2025-12-01,1376457
