Date,Predicted_Demand
2024-04-01,1316985
2024-05-01,1323920
2024-06-01,1358329
2024-07-01,1381413
2024-08-01,1404214
2024-09-01,1397367
2024-10-01,1348225
2024-11-01,1429147
2024-12-01,1419631
2025-01-01,1248710
2025-02-01,1257484
2025-03-01,1283230
2025-04-01,1314320
2025-05-01,1322375
2025-06-01,1276594
2025-07-01,1334051
2025-08-01,1313997
2025-09-01,1320370
2025-10-01,1322910
2025-11-01,1363385
2025-12-01,1365862
